iter	Passed	Remaining
767	3471	1048
768	3478	1044
769	3484	1040
770	3490	1036
771	3498	1033
772	3503	1028
773	3510	1025
774	3515	1020
775	3528	1018
776	3534	1014
777	3546	1011
778	3556	1009
779	3567	1006
780	3578	1003
781	3584	999
782	3591	995
783	3597	991
784	3602	986
785	3608	982
786	3614	978
787	3621	974
788	3626	969
789	3632	965
790	3640	962
791	3646	957
792	3653	953
793	3658	949
794	3663	944
795	3672	941
796	3678	936
797	3685	933
798	3691	928
799	3696	924
800	3702	919
801	3708	915
802	3714	911
803	3719	906
804	3725	902
805	3732	898
806	3737	893
807	3742	889
808	3748	885
809	3753	880
810	3757	875
811	3764	871
812	3769	867
813	3774	862
814	3780	858
815	3786	853
816	3791	849
817	3797	844
818	3802	840
819	3808	835
820	3813	831
821	3818	826
822	3826	822
823	3833	818
824	3841	814
825	3849	810
826	3854	806
827	3860	802
828	3866	797
829	3872	793
830	3879	788
831	3885	784
832	3892	780
833	3900	776
834	3924	775
835	3930	770
836	3935	766
837	3941	761
838	3946	757
839	3953	753
840	3958	748
841	3963	743
842	3970	739
843	3976	735
844	3984	730
845	3989	726
846	3994	721
847	4001	717
848	4006	712
849	4012	708
850	4035	706
851	4040	701
852	4048	697
853	4054	693
854	4059	688
855	4067	684
856	4072	679
857	4079	675
858	4087	670
859	4095	666
860	4103	662
861	4109	657
862	4116	653
863	4121	648
864	4127	644
865	4132	639
866	4137	634
867	4144	630
868	4150	625
869	4156	621
870	4163	616
871	4168	611
872	4173	607
873	4180	602
874	4186	598
875	4193	593
876	4200	589
877	4205	584
878	4211	579
879	4216	574
880	4221	570
881	4227	565
882	4233	560
883	4241	556
884	4246	551
885	4251	546
886	4256	542
887	4262	537
888	4268	533
889	4274	528
890	4278	523
891	4286	518
892	4291	514
893	4295	509
894	4302	504
895	4307	499
896	4312	495
897	4320	490
898	4325	485
899	4329	481
900	4335	476
901	4340	471
902	4345	466
903	4351	462
904	4356	457
905	4363	452
906	4368	447
907	4373	443
908	4381	438
909	4386	433
